# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,
# Mon Jun  2 17:07:37 2025,,,,,,,,,,
#,,,,,,,,,,
# User preference: *,,,,,,,,,,
#,,,,,,,,,,
# CONSTRAINT:  order by pl_name asc,,,,,,,,,,
#,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth Mass],,,,,,,,,,
# COLUMN pl_massj:       Planet Mass [Jupiter Mass],,,,,,,,,,
# COLUMN pl_msinie:      Planet Mass*sin(i) [Earth Mass],,,,,,,,,,
# COLUMN pl_msinij:      Planet Mass*sin(i) [Jupiter Mass],,,,,,,,,,
# COLUMN pl_cmasse:      Planet Mass*sin(i)/sin(i) [Earth Mass],,,,,,,,,,
# COLUMN pl_cmassj:      Planet Mass*sin(i)/sin(i) [Jupiter Mass],,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass],,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance,,,,,,,,,,
#,,,,,,,,,,
pl_name,hostname,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov
47 UMa b,47 UMa,NULL,NULL,877.17,2.76,NULL,NULL,877.17,2.76,Msini
47 UMa b,47 UMa,NULL,NULL,826.32,2.6,NULL,NULL,826.32,2.6,Msini
47 UMa b,47 UMa,NULL,NULL,774.8656563,2.438,NULL,NULL,774.8656563,2.438,Msini
47 UMa c,47 UMa,NULL,NULL,171.621,0.54,NULL,NULL,171.621,0.54,Msini
47 UMa c,47 UMa,NULL,NULL,425.87,1.34,NULL,NULL,425.87,1.34,Msini
47 UMa c,47 UMa,NULL,NULL,157.9607183,0.497,NULL,NULL,157.9607183,0.497,Msini
47 UMa d,47 UMa,NULL,NULL,521.22,1.64,NULL,NULL,521.22,1.64,Msini
47 UMa d,47 UMa,NULL,NULL,479.9208946,1.51,NULL,NULL,479.9208946,1.51,Msini
51 Eri b,51 Eri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51 Eri b,51 Eri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51 Eri b,51 Eri,635.66,2,NULL,NULL,NULL,NULL,635.66,2,Mass
51 Peg b,51 Peg,NULL,NULL,148.738,0.468,NULL,NULL,148.738,0.468,Msini
51 Peg b,51 Peg,NULL,NULL,149.3801,0.47,NULL,NULL,149.3801,0.47,Msini
51 Peg b,51 Peg,NULL,NULL,147.4723809,0.464,NULL,NULL,147.4723809,0.464,Msini
51 Peg b,51 Peg,146.2018,0.46,143.0235,0.45,145,0.457,146.2018,0.46,Mass
51 Peg b,51 Peg,NULL,NULL,150.009,0.472,NULL,NULL,150.009,0.472,Msini
55 Cnc b,55 Cnc,NULL,NULL,266.9772,0.84,NULL,NULL,266.9772,0.84,Msini
55 Cnc b,55 Cnc,NULL,NULL,254.25,0.8,NULL,NULL,254.25,0.8,Msini
55 Cnc b,55 Cnc,254.25,0.8,NULL,NULL,NULL,NULL,254.25,0.8,Mass
55 Cnc b,55 Cnc,263.9785,0.8306,NULL,NULL,NULL,NULL,263.9785,0.8306,Mass
55 Cnc b,55 Cnc,NULL,NULL,249.17872,0.784,NULL,NULL,249.17872,0.784,Msini
55 Cnc b,55 Cnc,NULL,NULL,267.2936903,0.841,NULL,NULL,267.2936903,0.841,Msini
55 Cnc b,55 Cnc,NULL,NULL,266.9772,0.84,NULL,NULL,266.9772,0.84,Msini
55 Cnc b,55 Cnc,266.966,0.84,NULL,NULL,NULL,NULL,266.966,0.84,Mass
55 Cnc b,55 Cnc,NULL,NULL,260.61,0.82,NULL,NULL,260.61,0.82,Msini
55 Cnc b,55 Cnc,NULL,NULL,255.4,0.8036,NULL,NULL,255.4,0.8036,Msini
55 Cnc b,55 Cnc,NULL,NULL,289.21,0.91,NULL,NULL,289.21,0.91,Msini
55 Cnc b,55 Cnc,NULL,NULL,261.881,0.824,NULL,NULL,261.881,0.824,Msini
55 Cnc c,55 Cnc,54.4738,0.1714,NULL,NULL,NULL,NULL,54.4738,0.1714,Mass
55 Cnc c,55 Cnc,NULL,NULL,52.44,0.165,NULL,NULL,52.44,0.165,Msini
55 Cnc c,55 Cnc,NULL,NULL,51.2,0.1611,NULL,NULL,51.2,0.1611,Msini
55 Cnc c,55 Cnc,NULL,NULL,52.44,0.165,NULL,NULL,52.44,0.165,Msini
55 Cnc c,55 Cnc,NULL,NULL,68.96911,0.217,NULL,NULL,68.96911,0.217,Msini
55 Cnc c,55 Cnc,NULL,NULL,53.711,0.169,NULL,NULL,53.711,0.169,Msini
55 Cnc c,55 Cnc,56.6985,0.1784,NULL,NULL,NULL,NULL,56.6985,0.1784,Mass
55 Cnc c,55 Cnc,NULL,NULL,54.3486576,0.171,NULL,NULL,54.3486576,0.171,Msini
55 Cnc d,55 Cnc,NULL,NULL,1121.89,3.53,NULL,NULL,1121.89,3.53,Msini
55 Cnc d,55 Cnc,NULL,NULL,918.49,2.89,NULL,NULL,918.49,2.89,Msini
55 Cnc d,55 Cnc,NULL,NULL,1287.2115,4.05,NULL,NULL,1287.2115,4.05,Msini
55 Cnc d,55 Cnc,NULL,NULL,1220.42,3.84,NULL,NULL,1220.42,3.84,Msini
55 Cnc d,55 Cnc,NULL,NULL,1243.35096,3.912,NULL,NULL,1243.35096,3.912,Msini
55 Cnc d,55 Cnc,NULL,NULL,991.6,3.12,NULL,NULL,991.6,3.12,Msini
55 Cnc d,55 Cnc,NULL,NULL,908.989244,2.86,NULL,NULL,908.989244,2.86,Msini
55 Cnc d,55 Cnc,1232.493,3.878,NULL,NULL,NULL,NULL,1232.493,3.878,Mass
55 Cnc d,55 Cnc,1226.77,3.86,NULL,NULL,NULL,NULL,1226.77,3.86,Mass
55 Cnc d,55 Cnc,NULL,NULL,1218.827,3.835,NULL,NULL,1218.827,3.835,Msini
55 Cnc e,55 Cnc,8.59,0.02702716,NULL,NULL,NULL,NULL,8.59,0.02702716,Mass
55 Cnc e,55 Cnc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55 Cnc e,55 Cnc,NULL,NULL,9.37593801,0.0295,NULL,NULL,9.37593801,0.0295,Msini
55 Cnc e,55 Cnc,8.37,0.026,NULL,NULL,NULL,NULL,8.37,0.026,Mass
55 Cnc e,55 Cnc,7.99,0.02513923,NULL,NULL,NULL,NULL,7.99,0.02513923,Mass
55 Cnc e,55 Cnc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55 Cnc e,55 Cnc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55 Cnc e,55 Cnc,8.09479,0.02547,NULL,NULL,NULL,NULL,8.09479,0.02547,Mass
55 Cnc e,55 Cnc,8.13928,0.02561,NULL,NULL,NULL,NULL,8.13928,0.02561,Mass
55 Cnc e,55 Cnc,8.08,0.0254224,NULL,NULL,NULL,NULL,8.08,0.0254224,Mass
55 Cnc e,55 Cnc,7.81,0.02457288,7.8,0.02454142,7.8086686,0.0245687,7.81,0.02457288,Mass
55 Cnc e,55 Cnc,NULL,NULL,14.30235,0.045,NULL,NULL,14.30235,0.045,Msini
55 Cnc e,55 Cnc,7.74,0.02435264,NULL,NULL,NULL,NULL,7.74,0.02435264,Mass
55 Cnc e,55 Cnc,8.08,0.0254224,NULL,NULL,NULL,NULL,8.08,0.0254224,Mass
55 Cnc e,55 Cnc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55 Cnc e,55 Cnc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55 Cnc e,55 Cnc,NULL,NULL,7.4687,0.0235,NULL,NULL,7.4687,0.0235,Msini
55 Cnc e,55 Cnc,8.63,0.027,NULL,NULL,NULL,NULL,8.63,0.027,Mass
55 Cnc e,55 Cnc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55 Cnc f,55 Cnc,NULL,NULL,45.766,0.144,NULL,NULL,45.766,0.144,Msini
55 Cnc f,55 Cnc,NULL,NULL,47.8,0.1503,NULL,NULL,47.8,0.1503,Msini
55 Cnc f,55 Cnc,NULL,NULL,54.664,0.172,NULL,NULL,54.664,0.172,Msini
55 Cnc f,55 Cnc,NULL,NULL,46.87969003,0.1475,NULL,NULL,46.87969003,0.1475,Msini
55 Cnc f,55 Cnc,44.812,0.141,NULL,NULL,NULL,NULL,44.812,0.141,Mass
55 Cnc f,55 Cnc,47.0051,0.1479,NULL,NULL,NULL,NULL,47.0051,0.1479,Mass
55 Cnc f,55 Cnc,NULL,NULL,44.812,0.141,NULL,NULL,44.812,0.141,Msini
6 Lyn b,6 Lyn,NULL,NULL,762.8,2.4,NULL,NULL,762.8,2.4,Msini
6 Lyn b,6 Lyn,NULL,NULL,702.4043,2.21,NULL,NULL,702.4043,2.21,Msini
6 Lyn b,6 Lyn,NULL,NULL,597.8352336,1.881,NULL,NULL,597.8352336,1.881,Msini
6 Lyn b,6 Lyn,NULL,NULL,638.8383,2.01,NULL,NULL,638.8383,2.01,Msini
61 Vir b,61 Vir,NULL,NULL,5.11703735,0.0161,NULL,NULL,5.11703735,0.0161,Msini
61 Vir b,61 Vir,NULL,NULL,5.1,0.016,NULL,NULL,5.1,0.016,Msini
61 Vir c,61 Vir,NULL,NULL,16.11390023,0.0507,NULL,NULL,16.11390023,0.0507,Msini
61 Vir c,61 Vir,NULL,NULL,18.2,0.057,NULL,NULL,18.2,0.057,Msini
61 Vir d,61 Vir,NULL,NULL,22.9,0.072,NULL,NULL,22.9,0.072,Msini
7 CMa b,7 CMa,NULL,NULL,616.5,1.94,NULL,NULL,616.5,1.94,Msini
7 CMa b,7 CMa,NULL,NULL,826.3,2.6,NULL,NULL,826.3,2.6,Msini
7 CMa b,7 CMa,NULL,NULL,587.9855,1.85,587.9855,1.85,587.9855,1.85,Msin(i)/sin(i)
7 CMa b,7 CMa,NULL,NULL,781.8618,2.46,NULL,NULL,781.8618,2.46,Msini
7 CMa c,7 CMa,NULL,NULL,276.5121,0.87,276.5121,0.87,276.5121,0.87,Msin(i)/sin(i)
7 CMa c,7 CMa,NULL,NULL,289.9,0.912,NULL,NULL,289.9,0.912,Msini
70 Vir b,70 Vir,2380.45,7.49,NULL,NULL,NULL,NULL,2380.45,7.49,Mass
70 Vir b,70 Vir,NULL,NULL,2357.02728,7.416,NULL,NULL,2357.02728,7.416,Msini
70 Vir b,70 Vir,NULL,NULL,2351.942,7.4,NULL,NULL,2351.942,7.4,Msini
70 Vir b,70 Vir,NULL,NULL,2297.899383,7.23,NULL,NULL,2297.899383,7.23,Msini
70 Vir b,70 Vir,NULL,NULL,2421.8646,7.62,NULL,NULL,2421.8646,7.62,Msini
70 Vir b,70 Vir,NULL,NULL,2084.88,6.56,NULL,NULL,2084.88,6.56,Msini
75 Cet b,75 Cet,NULL,NULL,787.896621,2.479,NULL,NULL,787.896621,2.479,Msini
75 Cet b,75 Cet,NULL,NULL,953.49,3,NULL,NULL,953.49,3,Msini
75 Cet c,75 Cet,NULL,NULL,289.8595072,0.912,NULL,NULL,289.8595072,0.912,Msini
8 UMi b,8 UMi,NULL,NULL,416.3573,1.31,NULL,NULL,416.3573,1.31,Msini
8 UMi b,8 UMi,NULL,NULL,476.745,1.5,NULL,NULL,476.745,1.5,Msini
81 Cet b,81 Cet,NULL,NULL,1684.4,5.3,NULL,NULL,1684.4,5.3,Msini
81 Cet b,81 Cet,NULL,NULL,1274.4,4.01,NULL,NULL,1274.4,4.01,Msini
81 Cet b,81 Cet,NULL,NULL,1051.058542,3.307,NULL,NULL,1051.058542,3.307,Msini
91 Aqr b,91 Aqr,NULL,NULL,1017,3.2,NULL,NULL,1017,3.2,Msini
AB Aur b,AB Aur,2860.455663,9,NULL,NULL,NULL,NULL,2860.455663,9,Mass
AB Pic b,AB Pic,4290.5,13.5,NULL,NULL,NULL,NULL,4290.5,13.5,Mass
AF Lep b,AF Lep,1664.467367,5.237,NULL,NULL,NULL,NULL,1664.467367,5.237,Mass
AF Lep b,AF Lep,1017.050902,3.2,NULL,NULL,NULL,NULL,1017.050902,3.2,Mass
AF Lep b,AF Lep,1366.66215,4.3,NULL,NULL,NULL,NULL,1366.66215,4.3,Mass
AT2021ueyL b,AT2021ueyL,425.8900654,1.34,NULL,NULL,NULL,NULL,425.8900654,1.34,Mass
AU Mic b,AU Mic,20.12,0.0633046,NULL,NULL,NULL,NULL,20.12,0.0633046,Mass
AU Mic b,AU Mic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AU Mic b,AU Mic,NULL,NULL,57.2094,0.18,NULL,NULL,57.2094,0.18,Msini
AU Mic b,AU Mic,17,0.05348798,NULL,NULL,NULL,NULL,17,0.05348798,Mass
AU Mic b,AU Mic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AU Mic b,AU Mic,10.2,0.03209279,NULL,NULL,NULL,NULL,10.2,0.03209279,Mass
AU Mic b,AU Mic,17.1,0.05380262,NULL,NULL,NULL,NULL,17.1,0.05380262,Mass
AU Mic b,AU Mic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AU Mic b,AU Mic,11.7,0.03681232,NULL,NULL,NULL,NULL,11.7,0.03681232,Mass
AU Mic b,AU Mic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AU Mic c,AU Mic,13.6,0.04279039,NULL,NULL,NULL,NULL,13.6,0.04279039,Mass
AU Mic c,AU Mic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AU Mic c,AU Mic,22.2,0.06984901,NULL,NULL,NULL,NULL,22.2,0.06984901,Mass
AU Mic c,AU Mic,9.6,0.03020498,NULL,NULL,NULL,NULL,9.6,0.03020498,Mass
AU Mic c,AU Mic,14.2,0.0446782,NULL,NULL,NULL,NULL,14.2,0.0446782,Mass
AU Mic c,AU Mic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AU Mic d,AU Mic,1.053,0.00331,NULL,NULL,NULL,NULL,1.053,0.00331,Mass
BD+03 2562 b,BD+03 2562,NULL,NULL,2034.112,6.4,NULL,NULL,2034.112,6.4,Msini
BD+05 4868 A b,BD+05 4868 A,6.2,0.01950738,NULL,NULL,NULL,NULL,6.2,0.01950738,Mass
BD+14 4559 b,BD+14 4559,NULL,NULL,330.5432,1.04,NULL,NULL,330.5432,1.04,Msini
BD+14 4559 b,BD+14 4559,NULL,NULL,467.19,1.47,NULL,NULL,467.19,1.47,Msini
BD+15 2375 b,BD+15 2375,NULL,NULL,337.21763,1.061,NULL,NULL,337.21763,1.061,Msini
BD+15 2940 b,BD+15 2940,NULL,NULL,352.78,1.11,NULL,NULL,352.78,1.11,Msini
BD+20 2457 b,BD+20 2457,NULL,NULL,6807.63,21.42,NULL,NULL,6807.63,21.42,Msini
BD+20 2457 b,BD+20 2457,NULL,NULL,17668.1697,55.59,NULL,NULL,17668.1697,55.59,Msini
BD+20 2457 c,BD+20 2457,NULL,NULL,3963.17,12.47,NULL,NULL,3963.17,12.47,Msini
BD+20 274 b,BD+20 274,NULL,NULL,1334.886,4.2,NULL,NULL,1334.886,4.2,Msini
BD+20 594 b,BD+20 594,22.2481,0.07,NULL,NULL,NULL,NULL,22.2481,0.07,Mass
BD+20 594 b,BD+20 594,16.3,0.05128528,NULL,NULL,NULL,NULL,16.3,0.05128528,Mass
BD+20 594 b,BD+20 594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BD+45 564 b,BD+45 564,NULL,NULL,432.2466335,1.36,NULL,NULL,432.2466335,1.36,Msini
BD+48 738 b,BD+48 738,NULL,NULL,289.2253,0.91,NULL,NULL,289.2253,0.91,Msini
BD+48 740 b,BD+48 740,NULL,NULL,540.311,1.7,NULL,NULL,540.311,1.7,Msini
BD+49 828 b,BD+49 828,NULL,NULL,508.5,1.6,NULL,NULL,508.5,1.6,Msini
BD+55 362 b,BD+55 362,NULL,NULL,228.836453,0.72,NULL,NULL,228.836453,0.72,Msini
BD+60 1417 b,BD+60 1417,4767.426105,15,NULL,NULL,NULL,NULL,4767.426105,15,Mass
BD+63 1405 b,BD+63 1405,3305.415433,10.4,1293.561616,4.07,NULL,NULL,3305.415433,10.4,Mass
BD+63 1405 b,BD+63 1405,NULL,NULL,1258.600492,3.96,NULL,NULL,1258.600492,3.96,Msini
BD-06 1339 b,BD-06 1339,NULL,NULL,8.5,0.027,NULL,NULL,8.5,0.027,Msini
BD-06 1339 c,BD-06 1339,NULL,NULL,53,0.17,NULL,NULL,53,0.17,Msini
BD-08 2823 b,BD-08 2823,NULL,NULL,12.7132,0.04,NULL,NULL,12.7132,0.04,Msini
BD-08 2823 b,BD-08 2823,NULL,NULL,14.4,0.045,NULL,NULL,14.4,0.045,Msini
BD-08 2823 c,BD-08 2823,NULL,NULL,104,0.33,NULL,NULL,104,0.33,Msini
BD-10 3166 b,BD-10 3166,NULL,NULL,187.5197,0.59,NULL,NULL,187.5197,0.59,Msini
BD-10 3166 b,BD-10 3166,NULL,NULL,145.56,0.458,NULL,NULL,145.56,0.458,Msini
BD-10 3166 b,BD-10 3166,NULL,NULL,142.7049547,0.449,NULL,NULL,142.7049547,0.449,Msini
BD-10 3166 b,BD-10 3166,NULL,NULL,152.55,0.48,NULL,NULL,152.55,0.48,Msini
BD-11 4672 b,BD-11 4672,NULL,NULL,168.44,0.53,NULL,NULL,168.44,0.53,Msini
BD-11 4672 b,BD-11 4672,NULL,NULL,206.5895,0.65,NULL,NULL,206.5895,0.65,Msini
BD-11 4672 c,BD-11 4672,NULL,NULL,15.37,0.04835919,NULL,NULL,15.37,0.04835919,Msini
BD-13 2130 b,BD-13 2130,NULL,NULL,3368.998,10.6,NULL,NULL,3368.998,10.6,Msini
BD-13 2130 b,BD-13 2130,NULL,NULL,3108.3774,9.78,NULL,NULL,3108.3774,9.78,Msini
BD-14 3065 b,BD-14 3065 A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BD-14 3065 b,BD-14 3065 A,3932,12.37,NULL,NULL,NULL,NULL,3932,12.37,Mass
BD-17 63 b,BD-17 63,NULL,NULL,905.8155,2.85,NULL,NULL,905.8155,2.85,Msini
BD-17 63 b,BD-17 63,1366.66215,4.3,1620.924876,5.1,NULL,NULL,1366.66215,4.3,Mass
BD-17 63 b,BD-17 63,NULL,NULL,1620.9,5.1,NULL,NULL,1620.9,5.1,Msini
BD-17 63 b,BD-17 63,1639.99458,5.16,NULL,NULL,NULL,NULL,1639.99458,5.16,Mass
BD-210397 b,BD-210397,NULL,NULL,214,0.7,NULL,NULL,214,0.7,Msini
BD-210397 c,BD-210397,1525.576354,4.8,NULL,NULL,NULL,NULL,1525.576354,4.8,Mass
BD-210397 c,BD-210397,NULL,NULL,759,2.4,NULL,NULL,759,2.4,Msini
Barnard b,Barnard's star,NULL,NULL,0.37,0.00116415,NULL,NULL,0.37,0.00116415,Msini
Barnard b,Barnard's star,NULL,NULL,0.299,0.00094076,NULL,NULL,0.299,0.00094076,Msini
Barnard c,Barnard's star,NULL,NULL,0.335,0.00105403,NULL,NULL,0.335,0.00105403,Msini
Barnard d,Barnard's star,NULL,NULL,0.263,0.00082749,NULL,NULL,0.263,0.00082749,Msini
Barnard e,Barnard's star,NULL,NULL,0.193,0.00060725,NULL,NULL,0.193,0.00060725,Msini
CD Cet b,CD Cet,NULL,NULL,3.95,0.01242809,NULL,NULL,3.95,0.01242809,Msini
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,3337.1,10.5,NULL,NULL,NULL,NULL,3337.1,10.5,Mass
